@relation Mood_sharing

@attribute usedName string
@attribute following numeric
@attribute follower numeric
@attribute numOfTweets numeric
@attribute mentionScore numeric
@attribute hashtagScore numeric
@attribute numOfArticleShared numeric
@attribute numOfArticleSharedDist numeric
@attribute numOfFavorities numeric
@attribute numOfList numeric
@attribute upbeat numeric
@attribute worried numeric
@attribute angry numeric
@attribute depress numeric
@attribute plugedIn numeric
@attribute personable numeric
@attribute distant numeric
@attribute spacy numeric
@attribute analytic numeric
@attribute sensory numeric
@attribute inTheMoment numeric
@attribute openness numeric
@attribute consciousness numeric
@attribute extraversion numeric
@attribute agreeableness numeric
@attribute neuroticism numeric
@attribute avglikes numeric
@attribute mood_indignant numeric
@attribute mood_disappointed numeric
@attribute mood_worried numeric
@attribute mood_amused numeric
@attribute mood_satisfied numeric
@data
kdanto,497,338,6111,0.005128205128205128,0.010256410256410256,5,0.02564,572,3,10,22,16,56,22,7,21,41,8,11,46,0.21600000000000008,0.18839999999999937,0.18833333333333335,0.17850000000000005,0.11696428571428609,6.121130636772206,0.54,0.15,0.04,0.04,0.24
gvecchi,399,6272,9302,0.02666666666666667,0.029523809523809525,29,0.39189,736,1,13,25,21,41,32,6,56,32,9,12,34,0.23000000000000018,0.1312500000000004,0.15249999999999989,0.13149999999999998,0.12178571428571452,1.7043513062160838,0.38,0.05,0.08,0.08,0.41
3DaysofCondor,19100,20000,21800,0.01237842617152962,0.05526083112290009,50,0.35211,9969,0,9,34,22,53,42,8,46,31,7,18,34,0.26299999999999996,0.13839999999999986,0.17083333333333336,0.16600000000000004,0.10750000000000003,2.25756425722425,0.42,0.05,0.09,0.1,0.35
alexius77,878,231,3053,0.0,0.0,4,0.02564,27,0,9,19,16,47,17,5,37,38,7,10,40,0.23900000000000002,0.17710000000000034,0.1591666666666667,0.17049999999999998,0.11428571428571467,3.9115646258503403,0.75,0.02,0.06,0,0.17
TuttoParioli,41,427,161000,0.01233453670276775,0.09987966305655836,14,0.056,2,0,16,40,19,42,31,12,53,43,12,14,32,0.24000000000000019,0.16210499999999975,0.15874999999999995,0.126,0.1251785714285714,5.167343340743945,0.57,0.06,0.08,0.07,0.22
LeoMangiavacchi,269,260,342,0.03007518796992481,0.03896103896103896,6,0.04762,61,3,14,29,26,43,38,12,60,36,16,11,32,0.25100000000000006,0.1598999999999996,0.16333333333333336,0.15474999999999997,0.12642857142857156,1.4400639102647712,0.22,0.03,0.16,0.09,0.5
ewmdreggio,109,324,3261,0.0986267166042447,0.039950062421972535,16,0.10191,588,2,22,26,18,40,76,12,71,47,18,13,38,0.26600000000000007,0.1771999999999995,0.16166666666666665,0.15150000000000005,0.152857142857143,1.6778309409888357,0.19,0.05,0.02,0.26,0.48
EffeBoccia,20,128,8064,0.05514705882352941,0.09313725490196079,12,0.19048,508,0,15,26,17,49,63,9,67,36,10,13,34,0.22900000000000012,0.1703666666666666,0.15666666666666668,0.13400000000000004,0.13875000000000018,1.4830501930501931,0.24,0.13,0.1,0.09,0.44
RobertoRcCasu,840,1373,8576,0.004492939666238768,0.1816431322207959,4,0.02778,6724,0,12,28,16,46,46,7,67,34,8,28,38,0.24100000000000013,0.13123333333333354,0.1658333333333333,0.16399999999999998,0.12553571428571444,3.051001320422535,0.37,0.4,0.04,0.04,0.16
noitre32,26900,28500,80600,0.0018115942028985507,0.0018115942028985507,41,0.33065,54,?,10,40,21,49,26,7,53,25,12,12,31,0.249,0.16429999999999997,0.20083333333333328,0.17800000000000002,0.13500000000000018,2.028799856234238,0.33,0.3,0.22,0.06,0.1
