##id	name	Amused	Disappointed	Indignant	Satisfied	Worried
5085334	fantapolitik	0.33	0	0.6	0.02	0.02
2793089	pennabianca	0.25	0.03	0.2	0.08	0.41
8973009	Lettore_8973009	0.15	0.35	0.15	0.25	0.1
2770475	Lorenzon64	0.11	0.38	0.19	0.26	0.03
5653444	121281	0.12	0.3	0.3	0.2	0.06
2063621	AribandusTm	0.13	0.21	0.29	0.25	0.1
9694918	neutrino2014	0.2	0.12	0.32	0.31	0.01
2567232	Lettore_2567232	0.11	0.02	0.38	0.23	0.23
1912931	yaccsun	0.1	0.17	0.35	0.2	0.16
3479093	quebecchese17	0.04	0.09	0.77	0.04	0.04
9086567	Lettore_9086567	0.11	0.04	0.45	0.3	0.08
8098272	Lemine92	0.08	0.07	0.52	0.24	0.07
847106	Lettore_847106	0.13	0.19	0.13	0.5	0.03
657565	TheJackSparrow	0.03	0.51	0.19	0.09	0.16
8818004	antroisi	0.08	0.16	0.26	0.29	0.17
2827215	DinoUK	0.02	0.07	0.57	0.21	0.11
2511664	Lettore_2511664	0.03	0.09	0.43	0.31	0.1
5770818	Lettore_5770818	0.13	0.04	0.43	0.34	0.04
5431359	rdepoli	0.08	0.41	0.25	0	0.25
9049056	Simone-Sydney	0.33	0.08	0.16	0.33	0.08
5462438	gibizeta	0.12	0.05	0.53	0.23	0.05
8679464	ares70	0.15	0.47	0.06	0.28	0.02
8444151	Lettore_8444151	0.09	0.36	0.36	0.09	0.09
5087783	Gugli	0.04	0.18	0.27	0.27	0.21
1740681	gioboezio	0.13	0.2	0.38	0.15	0.12
2841930	marius43	0.14	0.01	0.57	0.22	0.04
8404819	anemomylos2	0.14	0.07	0.07	0.64	0.07
9846267	beattt	0.02	0.03	0.56	0.35	0.02
3268645	lukano	0.18	0.07	0.36	0.1	0.27
3481233	rs1964	0.34	0	0.18	0.43	0.03
5704013	silcarm	0.07	0.07	0.69	0.14	0.01
1125852	PaneVino	0.25	0.06	0.25	0.37	0.06
5662914	Alecks	0.07	0.11	0.53	0.23	0.03
8283296	jackmi16	0.03	0.09	0.13	0.7	0.02
3619541	serioso	0.02	0.08	0.59	0.17	0.12
10283840	Lettore_10283840	0.28	0.14	0.42	0	0.14
1671669	melchiorre	0.27	0.08	0.21	0.31	0.1
8855252	luca-18	0.18	0.3	0.39	0.06	0.04
2782046	Rayman	0.08	0.08	0.24	0.49	0.08
3663719	paolo46	0.08	0	0.16	0.25	0.5
8002319	joanprimer	0.08	0.07	0.67	0.14	0.02
951477	Lettore_951477	0.07	0.16	0.36	0.21	0.18
8215321	ManuelBY	0.14	0.07	0.29	0.37	0.11
2029458	Lettore_2029458	0.07	0.07	0.43	0.16	0.25
3622635	Zut	0.22	0.26	0.21	0.16	0.12
9938051	ianne84	0.07	0.28	0.35	0	0.28
5662656	fiorgioba	0.04	0.16	0.41	0.24	0.13
2534308	Lettore_2534308	0.11	0.04	0.61	0.11	0.09
8769085	puzzyjohn	0.08	0.12	0.37	0.29	0.12
9048322	losoiochisono	0.11	0.08	0.34	0.4	0.05
8739507	Lettore_2728991	0.02	0.14	0.26	0.43	0.13
5573659	pippo4321	0.26	0.06	0.11	0.48	0.07
2728994	Lettore_2728994	0.08	0.06	0.31	0.41	0.12
9085264	Lettore_9085264	0.19	0.16	0.16	0.28	0.18
9051007	Lettore_9051007	0.08	0.26	0.45	0.08	0.1
9703300	Lettore_9703300	0.1	0.12	0.22	0.44	0.1
3201463	PACHMAAN	0.25	0.12	0.12	0.12	0.37
6060453	francosalasso	0.06	0.21	0.48	0.15	0.09
1306760	gitone	0.1	0.06	0.43	0.31	0.07
2742380	mcdep	0.16	0.16	0.5	0	0.16
10053855	frugale	0.09	0.07	0.35	0.38	0.09
8346626	sgrunzz	0.68	0.01	0.08	0.17	0.04
1708963	cupe78	0.4	0.2	0.2	0	0.2
5931182	pigivi2	0.44	0.22	0.22	0	0.11
9109723	Lettore_9109723	0.07	0.07	0.38	0.38	0.07
9082670	pigi	0.14	0.05	0.59	0.07	0.12
2407160	paoloter	0.18	0.14	0.49	0.12	0.04
9468209	Meneghin	0.03	0.08	0.35	0.35	0.17
2016524	GiovanniBagheria	0.06	0.02	0.59	0.24	0.07
9271349	massimo0211	0.26	0.13	0.36	0.1	0.13
2103916	Lettore_2103916	0.22	0.11	0.11	0.44	0.11
5167805	norwinter72	0.13	0.2	0.53	0.06	0.06
8795603	Lettore_8795603	0.03	0.03	0.54	0.29	0.08
9302755	Lettore_9302755	0.27	0.08	0.21	0.41	0.01
8885690	Lettore_8885690	0.12	0.12	0.43	0.25	0.06
2837954	claudiom58	0.08	0.08	0.61	0.11	0.08
3562336	thetall82	0.11	0.11	0.16	0.5	0.11
9384681	Lettore_9384681	0.23	0.07	0	0.53	0.15
5769805	Lettore_5769805	0.14	0.05	0.29	0.47	0.03
5836331	Lettore_5836331	0.16	0.66	0.08	0	0.08
9441766	Andrea94	0.23	0.18	0.1	0.39	0.07
9751007	Lettore_9751007	0.12	0.07	0.33	0.35	0.11
1791288	21v3	0.01	0.01	0.78	0.16	0.01
9402163	Lettore_9402163	0.07	0.01	0.61	0.23	0.05
5341327	Lettore_5341327	0.1	0.08	0.49	0.21	0.1
9761285	Lettore_9761285	0.08	0.01	0.64	0.23	0.01
9057150	Lettore_9057150	0.05	0.35	0.2	0.3	0.1
3653639	Sacccccccccc	0.03	0	0.32	0.6	0.03
3280276	Spennato	0.26	0.14	0.3	0.14	0.14
9449679	Lettore_9449679	0.82	0	0.07	0.07	0.02
2893421	Lettore_2893421	0.13	0.02	0.55	0.18	0.09
2710180	iciap_semper	0.08	0.05	0.7	0.11	0.03
2584233	mazarin	0.21	0.06	0.24	0.26	0.21
9873845	ansan	0.06	0.18	0.25	0.37	0.12
1652364	_Jack_	0.16	0.16	0.16	0.33	0.16
10317462	Fabio_Fabbi	0.21	0.35	0.25	0.02	0.14
9144706	JOANNES	0.06	0.18	0.06	0.5	0.18
2603978	errollg	0.28	0.1	0.26	0.18	0.15
9842381	Lettore_9842381	0.1	0.07	0.42	0.28	0.1
3024505	eddy_10417	0.2	0.12	0.3	0.22	0.13
529784	provaapensare	0.2	0	0.4	0.3	0.1
9000694	Melstin	0.03	0.03	0.83	0.06	0.03
3570436	cittadiniliberi	0.08	0.21	0.56	0.12	0.01
2741471	lollo08	0.3	0.3	0.1	0.2	0.1
1766521	michele300	0.08	0.06	0.66	0.11	0.06
3540693	max85259	0.04	0.02	0.54	0.33	0.06
3712321	terry20091	0.09	0.05	0.5	0.24	0.1
9707384	Aslva	0.12	0.37	0.12	0	0.37
3644134	orsospeleo	0.26	0.32	0.19	0.15	0.07
5424228	Lettore_5424228	0.4	0.1	0.2	0.2	0.1
397022	Lettore_397022	0.22	0.08	0.29	0.35	0.04
9623515	Lettore_9623515	0.05	0.08	0.74	0.1	0.01
8136626	Lettore_8136626	0.07	0.05	0.52	0.24	0.11
855572	Lettore_855572	0.06	0.26	0.09	0.22	0.35
9083429	Lettore_9083429	0.11	0.03	0.54	0.29	0.01
2283705	crazyv	0.05	0.23	0.47	0.19	0.04
1723148	TheJack	0.42	0	0.14	0.14	0.28
5318121	maria.g	0.12	0.22	0.27	0.07	0.3
9331613	Alexx890	0.04	0.1	0.41	0.38	0.04
2192129	Lettore_2192129	0.05	0.04	0.79	0.09	0.02
3025014	Abbonata	0.05	0.33	0.28	0.22	0.1
1284053	Lettore_1284053	0.04	0.21	0.21	0.39	0.13
9042928	Lettore_9042928	0.12	0.06	0.54	0.09	0.16
5670263	nonnoreno	0.07	0.03	0.57	0.26	0.05
2941604	Lettore_2941604	0.16	0.05	0.25	0.25	0.26
2052770	tav1950	0.08	0.16	0.39	0.21	0.14
295320	testonerosso	0.09	0.21	0.28	0.2	0.2
10031931	Edmond11	0.12	0.16	0.39	0.25	0.05
9037588	Lettore_9037588	0.06	0.02	0.74	0.12	0.05
9648837	Lettore_9648837	0.1	0.16	0.36	0.13	0.23
2347845	Marva55	0.11	0	0.33	0.44	0.11
1894256	ccapelli	0.17	0.2	0.33	0.2	0.09
2454175	davide70	0.01	0.06	0.51	0.33	0.08
9046979	theresiane	0.04	0.14	0.28	0.46	0.06
9108469	Lettore_9108469	0.1	0.01	0.62	0.21	0.03
3287604	melicus	0.17	0.17	0.33	0.16	0.14
9323173	genmax	0.1	0.18	0.34	0.29	0.07
1652059	Teush	0.12	0.11	0.1	0.56	0.09
9066909	Lettore_9066909	0.09	0.17	0.45	0.23	0.02
10325398	donaton489	0.08	0.13	0.52	0.08	0.17
3688177	Andrea_03	0.18	0.09	0.48	0.17	0.06
9277162	storto01	0.18	0.07	0.42	0.23	0.08
9061031	Carfer47	0.12	0.18	0.36	0.19	0.12
2101344	Lettore_2101344	0.54	0.08	0.08	0.25	0.02
10147940	Lettore_10147940	0.06	0.4	0.06	0.13	0.33
5084598	Lettore_5084598	0.03	0.16	0.61	0.16	0.01
2381478	Utente342567	0.15	0.17	0.28	0.22	0.15
9264568	fudo	0.09	0.11	0.38	0.37	0.02
9312274	silvio2	0.09	0.06	0.62	0.18	0.03
3414345	arsie41	0.09	0.6	0.08	0.11	0.09
1787535	Lettore_1787535	0.03	0.16	0.23	0.4	0.16
327169	marco_p	0.08	0.33	0.25	0.16	0.16
9560268	Lettore_9560268	0.09	0.18	0.31	0.31	0.07
2809273	Lettore_2809273	0.13	0.02	0.4	0.37	0.06
2939326	Lettore_2939326	0.15	0.11	0.38	0.22	0.12
9268622	gianguido62	0.18	0.04	0.5	0.04	0.22
2692459	Lettore_2692459	0.01	0.05	0.8	0.09	0.02
1105586	ECOD13	0.13	0.06	0.46	0.26	0.06
2789973	Lettore_2789973	0.06	0.06	0.75	0.06	0.06
9643127	Lettore_9643127	0.05	0.17	0.51	0.14	0.11
3545751	Lettore_3545751	0.06	0.02	0.42	0.45	0.02
9619496	bruto2000	0.03	0.1	0.26	0.45	0.14
9415150	exungueleonem	0.11	0.05	0.55	0.22	0.05
8359410	pilopilotti	0.02	0.02	0.74	0.18	0.02
2019212	Lettore_2019212	0.04	0.17	0.49	0.18	0.09
6010390	Anz	0.09	0.31	0.22	0.27	0.09
5143913	dreammaze	0.11	0.25	0.4	0.14	0.08
5671095	MimmoDB	0.11	0.27	0.22	0.18	0.18
376046	kilifi	0.3	0.05	0.32	0.27	0.03
291194	PaoloCarotenuto	0.38	0.26	0.14	0.04	0.16
9020388	AndreaB-	0.31	0.18	0.12	0.18	0.18
8421079	tomtomgo	0.25	0.25	0	0	0.5
2365050	vladimir74	0.1	0.13	0.56	0.14	0.04
3279837	contronano	0.04	0.21	0.56	0.04	0.13
8126768	PoteriForti	0.17	0	0.47	0.27	0.06
8773170	GeniusL	0.12	0.48	0.17	0.17	0.02
5306996	Alioth	0.2	0.44	0.08	0.08	0.2
10289966	nino57	0.16	0	0.25	0.16	0.41
1529198	lucapat	0.05	0.22	0.34	0.25	0.11
1815332	TheBeatGoesOn	0.09	0.33	0.16	0.35	0.04
