##id	name	Amused	Disappointed	Indignant	Satisfied	Worried
170073	Jazz65	0.21	0.21	0.07	0.21	0.28
5332623	Lettore_5332623	0.04	0.07	0.71	0.13	0.03
1702246	Viaggiatore	0.26	0.09	0.22	0.25	0.15
1542775	lakota78	0.11	0.27	0.17	0.27	0.15
9041276	Emiliogv	0.12	0	0.34	0.41	0.12
7984970	Lettore_7984970	0.09	0.02	0.76	0.06	0.04
2086364	Arcolino	0.14	0.08	0.28	0.34	0.14
5766831	Nuvolari2	0.16	0.03	0.35	0.32	0.12
8698249	Lettore_8698249	0.3	0.2	0.1	0.2	0.2
9770174	Lettore_9770174	0.09	0	0.63	0.09	0.18
3218408	Lettore_3218408	0.01	0.15	0.28	0.42	0.12
791201	Lettore_791201	0.24	0.13	0.31	0.27	0.03
9048043	Lettore_9048043	0.32	0.12	0.26	0.25	0.02
5812778	Lettore_5812778	0.43	0	0.23	0.17	0.15
2528825	franz35	0.2	0	0.2	0.5	0.1
9968310	Lettore_9968310	0.1	0	0.7	0.1	0.1
7810897	terribilia	0.13	0.13	0.4	0.2	0.13
9793060	Lettore_9793060	0.07	0.02	0.43	0.42	0.03
8971070	Lettore_8971070	0.13	0.16	0.26	0.32	0.11
3196567	HomerSimpson	0.08	0.01	0.55	0.22	0.11
8814432	Lettore_8814432	0.11	0.29	0.19	0.21	0.18
6745592	Tremalnaik	0.08	0.02	0.59	0.16	0.13
8818032	Pivatelli	0.12	0.23	0.21	0.27	0.14
1448207	valusc	0.11	0.07	0.19	0.56	0.05
1883735	ReNudo	0.18	0	0.54	0.18	0.09
2714819	Ignorante67	0.25	0	0.25	0.46	0.02
9041720	fcoraz	0.22	0.22	0.27	0	0.27
2801866	Hobie_1121993	0.14	0.35	0.24	0.13	0.1
5826939	mortensen	0.12	0.26	0.07	0.27	0.26
5272120	coppino	0.18	0.09	0.3	0.19	0.21
1886062	Pilade	0.25	0.18	0.14	0.11	0.29
1862033	idimis	0.12	0.08	0.28	0.21	0.29
3552546	squinterno	0.08	0.29	0.16	0.35	0.1
9357966	MANIF_POUR_TOUS	0.02	0.03	0.5	0.41	0.01
2891177	renato49	0.11	0.11	0.4	0.3	0.06
2864536	elenabby	0.05	0.15	0.4	0.35	0.05
5251515	Lettore_5251515	0.27	0.16	0.13	0.3	0.1
8860784	Lettore_8860784	0.12	0.12	0.26	0.33	0.14
7826805	cittadinostanco9999	0.08	0.09	0.57	0.14	0.09
3436667	suisfurax	0.36	0.1	0.11	0.25	0.15
9534641	Lettore_9534641	0.2	0	0.2	0.1	0.5
3259637	Lievemente	0.06	0.1	0.46	0.33	0.03
8938222	Lettore_8938222	0.25	0	0.41	0.16	0.16
9816247	QuidsIn	0.12	0.1	0.55	0.16	0.05
9235880	Lettore_9235880	0.03	0.09	0.48	0.35	0.03
7808812	peoplescurrency	0.05	0.03	0.61	0.25	0.04
9071552	Holly	0.04	0.09	0.57	0.23	0.05
9074100	Lettore_9074100	0.04	0.01	0.55	0.35	0.04
9389380	Napolentone	0.52	0.04	0.16	0.12	0.16
5804205	Gleis70	0.16	0.16	0.36	0.26	0.04
9038029	Lettore_9038029	0.1	0.15	0.32	0.26	0.15
1912352	nike	0.09	0.01	0.67	0.2	0.01
480019	Lettore_480019	0.1	0.04	0.46	0.27	0.11
9384886	Lettore_9384886	0.24	0.32	0.11	0.14	0.15
9053042	Napoli72	0.06	0.17	0.39	0.33	0.03
1773939	Red	0.17	0.07	0.44	0.27	0.03
9279590	boris49	0.08	0.12	0.51	0.19	0.08
2546285	pier44	0.2	0.4	0	0	0.4
9867836	Lettore_9867836	0.07	0.02	0.54	0.26	0.09
9868093	waltpernix	0.26	0.05	0.05	0.18	0.44
2960989	Lettore_2960989	0.14	0.14	0.14	0.42	0.14
9390080	Ela	0.14	0.09	0.33	0.23	0.19
7768210	VALSUSINO1	0.04	0.12	0.37	0.25	0.2
9774109	cesamus	0.13	0.11	0.29	0.34	0.11
9045807	Lettore_9045807	0.07	0.43	0.2	0.17	0.1
10044812	Lettore_10044812	0.09	0.17	0.26	0.37	0.09
2782239	matteo_ge	0.38	0.11	0.26	0.15	0.07
9947187	Mac_Rae	0.2	0.1	0.2	0.42	0.06
7732877	Lettore_7732877	0.29	0.07	0.15	0.35	0.1
